"Table 1: Number of records and patients by reason for producing embryos or storing eggs, 1991-2022 [note 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To view further data on fertility treatments in the UK, visit the HFEA dashboard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F] ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Human Fertilisation and Embryology Authority (HFEA) data register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,IVF fresh embryos - Patients,IVF fresh embryos - Cycles,IVF frozen embryos - Patients,IVF frozen embryos - Cycles,ICSI fresh embryos - Patients,ICSI fresh embryos - Cycles,ICSI frozen embryos - Patients,ICSI frozen embryos - Cycles,"DI, stimulated - Patients","DI, stimulated - Cycles","DI, unstimulated - Patients","DI, unstimulated - Cycles",Egg share - Patients,Egg share - Cycles,Egg storage - Patients,Egg storage - Cycles,Egg thaw - Patients,Egg thaw - Cycles,Embryo storage - Patients,Embryo storage - Cycles,Egg and embryo storage - Patients,Egg and embryo storage - Cycles,PGT-A fresh embryos - Patients,PGT-A fresh embryos - Cycles,PGT-A frozen embryos - Patients,PGT-A frozen embryos - Cycles,PGT-M/SR fresh embryos - Patients,PGT-M/SR fresh embryos - Cycles,PGT-M/SR frozen embryos - Patients,PGT-M/SR frozen embryos - Cycles
2022,"  18,235 ","  21,642 ","  12,872 ","  16,185 ","  19,486 ","  22,118 ","  14,106 ","  17,170 ","  1,228 ","  1,854 ","  2,109 ","  3,855 ",  64 ,  75 ,"  3,659 ","  4,647 ","  1,703 ","  1,939 ","  7,094 ","  9,311 ",  107 ,  111 ,  624 ,  676 ,  564 ,  635 ,  265 ,  274 ,  188 ,  206 
2021,"  16,883 ","  19,882 ","  13,268 ","  16,837 ","  19,234 ","  22,182 ","  13,652 ","  16,725 ","  1,492 ","  2,411 ","  2,388 ","  4,536 ",  105 ,  123 ,"  3,313 ","  4,233 ","  1,243 ","  1,377 ","  8,483 ","  10,835 ",  93 ,  98 ,  279 ,  297 ,"  1,105 ","  1,282 ",  130 ,  135 ,  571 ,  646 
2020,"  12,784 ","  14,448 ","  10,070 ","  12,403 ","  14,324 ","  15,940 ","  10,858 ","  13,002 ","  1,287 ","  1,959 ","  1,777 ","  3,324 ",  149 ,  162 ,"  1,994 ","  2,448 ",  817 ,  880 ,"  7,061 ","  8,856 ",  65 ,  68 ,  166 ,  175 ,"  1,005 ","  1,158 ",  74 ,  77 ,  578 ,  656 
2019,"  16,441 ","  18,719 ","  10,979 ","  13,754 ","  19,762 ","  22,516 ","  12,029 ","  14,702 ","  1,498 ","  2,371 ","  1,871 ","  3,418 ",  250 ,  273 ,"  2,105 ","  2,571 ",  767 ,  843 ,"  6,460 ","  8,251 ",  61 ,  63 ,  93 ,  96 ,  980 ,"  1,144 ",  139 ,  155 ,  599 ,  699 
2018,"  17,647 ","  20,042 ","  10,472 ","  12,848 ","  20,144 ","  22,908 ","  10,806 ","  13,087 ","  1,539 ","  2,513 ","  1,742 ","  3,198 ",  318 ,  349 ,"  1,734 ","  2,067 ",  645 ,  698 ,"  5,471 ","  7,177 ",  53 ,  53 ,  90 ,  98 ,  796 ,  940 ,  85 ,  92 ,  502 ,  573 
2017,"  18,928 ","  21,538 ","  9,721 ","  11,783 ","  21,555 ","  24,366 ","  10,121 ","  12,006 ","  1,598 ","  2,515 ","  1,737 ","  3,152 ",  394 ,  416 ,"  1,330 ","  1,562 ",  631 ,  676 ,"  4,686 ","  6,096 ",  39 ,  40 ,  93 ,  97 ,  613 ,  710 ,  82 ,  88 ,  521 ,  650 
2016,"  19,198 ","  21,864 ","  8,747 ","  10,470 ","  22,034 ","  25,114 ","  9,110 ","  10,734 ","  1,476 ","  2,414 ","  1,625 ","  3,064 ",  506 ,  537 ,"  1,156 ","  1,362 ",  548 ,  595 ,"  3,991 ","  5,160 ",  39 ,  40 ,  118 ,  129 ,  456 ,  542 ,  116 ,  132 ,  493 ,  605 
2015,"  19,392 ","  22,011 ","  7,414 ","  8,742 ","  22,586 ","  25,796 ","  7,671 ","  8,906 ","  1,386 ","  2,121 ","  1,554 ","  2,862 ",  534 ,  581 ,"  1,001 ","  1,173 ",  435 ,  467 ,"  3,120 ","  3,993 ",  31 ,  32 ,  336 ,  390 ,  179 ,  202 ,  137 ,  154 ,  437 ,  545 
2014,"  19,233 ","  22,002 ","  6,490 ","  7,585 ","  22,969 ","  26,323 ","  6,701 ","  7,689 ","  1,400 ","  2,233 ","  1,408 ","  2,481 ",  554 ,  599 ,  687 ,  761 ,  268 ,  286 ,"  1,522 ","  1,843 ",  18 ,  18 ,  283 ,  311 ,  69 ,  72 ,  220 ,  260 ,  305 ,  369 
2013,"  19,459 ","  22,210 ","  5,943 ","  6,831 ","  22,774 ","  26,163 ","  5,864 ","  6,645 ","  1,353 ","  2,184 ","  1,303 ","  2,461 ",  682 ,  740 ,  559 ,  628 ,  189 ,  200 ,  719 ,  834 ,  20 ,  21 ,  245 ,  260 ,  40 ,  42 ,  373 ,  431 ,  134 ,  151 
