"Table 2: Egg storage and thaw cycles by patient age, 2000-2022",,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,
Notes!A1,,,,,,,,,,,,,,,,,,,,
"To view further data on fertility treatments in the UK, visit the HFEA dashboard",,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F] ",,,,,,,,,,,,,,,,,,,,
Source: Human Fertilisation and Embryology Authority (HFEA) data register,,,,,,,,,,,,,,,,,,,,
Year,"Egg storage, age 18-34 - Patients","Egg storage, age 18-34 - Cycles","Egg storage, age 35-37 - Patients","Egg storage, age 35-37 - Cycles","Egg storage, age 38-39 - Patients","Egg storage, age 38-39 - Cycles","Egg storage, age 40-42 - Patients","Egg storage, age 40-42 - Cycles","Egg storage, age 43-50 - Patients","Egg storage, age 43-50 - Cycles","Egg thaw, age 18-34 - Patients","Egg thaw, age 18-34 - Cycles","Egg thaw, age 35-37 - Patients","Egg thaw, age 35-37 - Cycles","Egg thaw, age 38-39 - Patients","Egg thaw, age 38-39 - Cycles","Egg thaw, age 40-42 - Patients","Egg thaw, age 40-42 - Cycles","Egg thaw, age 43-50 - Patients","Egg thaw, age 43-50 - Cycles"
2022,"  1,512 ","  1,759 ","  1,171 ","  1,511 ",  578 ,  746 ,  357 ,  492 ,  83 ,  118 ,  163 ,  183 ,  142 ,  159 ,  177 ,  207 ,  432 ,  486 ,  757 ,  856 
2021,"  1,342 ","  1,585 ","  1,066 ","  1,341 ",  522 ,  669 ,  332 ,  431 ,  75 ,  90 ,  132 ,  170 ,  133 ,  142 ,  95 ,  108 ,  322 ,  345 ,  528 ,  566 
2020,  780 ,  929 ,  620 ,  747 ,  351 ,  428 ,  212 ,  268 ,  45 ,  57 ,  75 ,  86 ,  73 ,  76 ,  79 ,  83 ,  204 ,  214 ,  358 ,  384 
2019,  811 ,  944 ,  642 ,  766 ,  366 ,  461 ,  231 ,  299 ,  58 ,  79 ,  91 ,  107 ,  59 ,  61 ,  88 ,  93 ,  183 ,  200 ,  321 ,  352 
2018,  615 ,  678 ,  530 ,  629 ,  317 ,  389 ,  224 ,  291 ,  49 ,  58 ,  83 ,  89 ,  61 ,  62 ,  63 ,  65 ,  132 ,  142 ,  287 ,  313 
2017,  490 ,  530 ,  384 ,  448 ,  268 ,  324 ,  152 ,  196 ,  46 ,  56 ,  77 ,  81 ,  56 ,  56 ,  53 ,  53 ,  137 ,  152 ,  293 ,  316 
2016,  414 ,  446 ,  339 ,  403 ,  207 ,  245 ,  153 ,  191 ,  42 ,  59 ,  87 ,  97 ,  60 ,  65 ,  59 ,  62 ,  116 ,  126 ,  216 ,  231 
2015,  355 ,  383 ,  276 ,  312 ,  183 ,  215 ,  138 ,  179 ,  48 ,  70 ,  55 ,  57 ,  58 ,  66 ,  33 ,  34 ,  96 ,  104 ,  178 ,  189 
2014,  257 ,  273 ,  164 ,  177 ,  138 ,  154 ,  100 ,  113 ,  22 ,  28 ,  55 ,  56 ,  28 ,  30 ,  23 ,  24 ,  61 ,  63 ,  92 ,  102 
2013,  213 ,  226 ,  136 ,  149 ,  123 ,  141 ,  69 ,  85 ,  16 ,  20 ,  46 ,  47 ,  26 ,  26 ,  18 ,  20 ,  43 ,  43 ,  58 ,  62 
2012,  177 ,  184 ,  97 ,  104 ,  77 ,  89 ,  58 ,  66 ,  16 ,  20 ,  35 ,  35 ,  22 ,  22 ,  14 ,  15 ,  33 ,  35 ,  52 ,  55 
2011,  147 ,  153 ,  79 ,  90 ,  67 ,  71 ,  34 ,  41 ,  11 ,  16 ,  21 ,  21 ,  9 ,  9 ,  13 ,  13 ,  24 ,  27 ,  47 ,  49 
2010,  94 ,  96 ,  59 ,  66 ,  47 ,  49 ,  43 ,  46 ,  7 ,  7 ,  17 ,  19 ,  8 ,  10 ,  10 ,  10 ,  23 ,  23 ,  21 ,  22 
2009,  81 ,  81 ,  77 ,  88 ,  48 ,  56 ,  17 ,  22 ,  6 ,  6 ,  14 ,  16 ,  6 ,  6 ,  5 ,  5 , <5, <5,  11 ,  13 
2008,  84 ,  89 ,  56 ,  57 ,  41 ,  44 ,  30 ,  36 ,  5 ,  5 ,  7 ,  7 ,  5 ,  5 , <5, <5, <5, <5, <5, <5
2007,  45 ,  45 ,  28 ,  29 ,  27 ,  27 ,  14 ,  14 , <5, <5, <5, <5, <5, <5, <5, <5, <5, <5,,
2006,  26 ,  29 ,  14 ,  15 ,  10 ,  10 ,  7 ,  8 , <5, <5, <5, <5,,, <5, <5, <5, <5, <5, <5
2005,  26 ,  26 , <5, <5,  5 ,  5 , <5, <5, <5, <5, <5, <5, <5, <5, <5, <5,,,,
2004,  8 ,  8 , <5, <5, <5, <5, <5, <5,,, <5, <5, <5, <5,,,,,,
2003,  10 ,  10 ,  7 ,  8 ,  7 ,  7 , <5, <5,,, <5, <5,,,,, <5, <5,,
2002,  17 ,  18 ,  5 ,  6 , <5, <5, <5, <5,,, <5, <5, <5, <5, <5, <5, <5, <5,,
2001,  9 ,  9 ,,, <5, <5, <5, <5,,, <5, <5, <5, <5,,,,, <5, <5
2000,  5 ,  6 , <5,  5 , <5, <5, <5, <5, <5, <5,,, <5, <5,,,,, <5, <5
