"Table 5: DI cycle pregnancy and birth rates by stimulated and unstimulated cycles, 1991-2022 [note 5]",,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
Notes!A1,,,,,,,,,,,,
"To view further data on fertility treatments in the UK, visit the HFEA dashboard",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F] ",,,,,,,,,,,,
Source: Human Fertilisation and Embryology Authority (HFEA) data register,,,,,,,,,,,,
Year,Stimulated - Patients,Stimulated - Cycles,Stimulated - Live birth occurences,Stimulated - Pregnancies,Stimulated - Pregnancy rate per treatment cycle,Stimulated - Birth rate per treatment cycle,Unstimulated - Patients,Unstimulated - Cycles,Unstimulated - Live birth occurences,Unstimulated - Pregnancies,Unstimulated - Pregnancy rate per treatment cycle,Unstimulated - Birth rate per treatment cycle
2022,"  1,228 ","  1,854 ",  257 ,  317 ,17%,14%,"  2,109 ","  3,855 ",  483 ,  619 ,16%,13%
2021,"  1,492 ","  2,411 ",  314 ,  419 ,17%,13%,"  2,388 ","  4,536 ",  592 ,  755 ,17%,13%
2020,"  1,287 ","  1,959 ",  247 ,  305 ,16%,13%,"  1,777 ","  3,324 ",  423 ,  515 ,15%,13%
2019,"  1,498 ","  2,371 ",  389 ,  432 ,18%,16%,"  1,871 ","  3,418 ",  505 ,  567 ,17%,15%
2018,"  1,539 ","  2,513 ",  381 ,  430 ,17%,15%,"  1,742 ","  3,198 ",  427 ,  476 ,15%,13%
2017,"  1,598 ","  2,515 ",  386 ,  430 ,17%,15%,"  1,737 ","  3,152 ",  439 ,  486 ,15%,14%
2016,"  1,476 ","  2,414 ",  340 ,  381 ,16%,14%,"  1,625 ","  3,064 ",  382 ,  431 ,14%,12%
2015,"  1,386 ","  2,121 ",  337 ,  383 ,18%,16%,"  1,554 ","  2,862 ",  339 ,  378 ,13%,12%
2014,"  1,400 ","  2,233 ",  314 ,  353 ,16%,14%,"  1,408 ","  2,481 ",  330 ,  360 ,15%,13%
2013,"  1,353 ","  2,184 ",  321 ,  364 ,17%,15%,"  1,303 ","  2,461 ",  275 ,  307 ,12%,11%
2012,"  1,329 ","  2,201 ",  303 ,  350 ,16%,14%,"  1,204 ","  2,278 ",  265 ,  299 ,13%,12%
2011,"  1,210 ","  1,998 ",  277 ,  319 ,16%,14%,"  1,116 ","  2,110 ",  233 ,  263 ,12%,11%
2010,"  1,217 ","  2,026 ",  307 ,  346 ,17%,15%,"  1,028 ","  1,926 ",  216 ,  240 ,12%,11%
2009,"  1,160 ","  1,928 ",  249 ,  285 ,15%,13%,"  1,028 ","  1,972 ",  186 ,  208 ,11%,9%
2008,"  1,114 ","  1,884 ",  235 ,  259 ,14%,12%,"  1,081 ","  2,118 ",  232 ,  259 ,12%,11%
2007,  991 ,"  1,850 ",  232 ,  251 ,14%,13%,"  1,022 ","  2,053 ",  220 ,  247 ,12%,11%
2006,"  1,085 ","  1,878 ",  210 ,  244 ,13%,11%,"  1,198 ","  2,385 ",  270 ,  298 ,12%,11%
2005,"  1,288 ","  2,328 ",  281 ,  318 ,14%,12%,"  1,670 ","  3,562 ",  344 ,  383 ,11%,10%
2004,"  1,357 ","  2,547 ",  287 ,  337 ,13%,11%,"  1,959 ","  4,373 ",  442 ,  485 ,11%,10%
2003,"  1,510 ","  2,831 ",  347 ,  386 ,14%,12%,"  1,965 ","  4,506 ",  453 ,  513 ,11%,10%
2002,"  1,497 ","  2,882 ",  357 ,  405 ,14%,12%,"  1,978 ","  4,451 ",  480 ,  542 ,12%,11%
2001,"  1,497 ","  2,930 ",  349 ,  416 ,14%,12%,"  1,976 ","  4,690 ",  478 ,  532 ,11%,10%
2000,"  1,693 ","  3,456 ",  371 ,  444 ,13%,11%,"  2,124 ","  4,962 ",  535 ,  593 ,12%,11%
1999,"  2,054 ","  4,202 ",  529 ,  593 ,14%,13%,"  2,448 ","  6,003 ",  605 ,  692 ,12%,10%
1998,"  2,374 ","  4,973 ",  536 ,  656 ,13%,11%,"  2,667 ","  6,599 ",  640 ,  751 ,11%,10%
1997,"  2,602 ","  5,710 ",  570 ,  688 ,12%,10%,"  2,985 ","  7,570 ",  711 ,  822 ,11%,9%
1996,"  2,722 ","  6,022 ",  636 ,  761 ,13%,11%,"  3,470 ","  8,875 ",  822 ,  991 ,11%,9%
1995,"  3,110 ","  7,506 ",  718 ,  880 ,12%,10%,"  3,885 ","  10,461 ",  874 ,"  1,041 ",10%,8%
1994,"  3,508 ","  8,830 ",  724 ,  870 ,10%,8%,"  4,607 ","  12,637 ",  999 ,"  1,196 ",9%,8%
1993,"  3,602 ","  9,833 ",  677 ,  839 ,9%,7%,"  4,905 ","  14,396 ",  896 ,"  1,086 ",8%,6%
1992,"  3,466 ","  9,982 ",  531 ,  700 ,7%,5%,"  5,052 ","  16,027 ",  835 ,"  1,039 ",6%,5%
1991,"  1,860 ","  3,542 ",  193 ,  247 ,7%,5%,"  2,737 ","  5,764 ",  298 ,  384 ,7%,5%
