"Table 7: IVF and DI average age at treatment and first birth by partner type, 1999-2022 [note 7]",,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
Notes!A1,,,,,,,,,,,,
"To view further data on fertility treatments in the UK, visit the HFEA dashboard",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F] ",,,,,,,,,,,,
Source: Human Fertilisation and Embryology Authority (HFEA) data register,,,,,,,,,,,,
Year,Average patient age at first treatment - Male partner - IVF,Average patient age at first treatment - Male partner - DI,Average patient age at first birth - Male partner - IVF,Average patient age at first birth - Male partner - DI,Average patient age at first treatment - Female partner - IVF,Average patient age at first treatment - Female partner - DI,Average patient age at first birth - Female partner - IVF,Average patient age at first birth - Female partner - DI,Average patient age at first treatment - No partner - IVF,Average patient age at first treatment - No partner - DI,Average patient age at first birth - No partner - IVF,Average patient age at first birth - No partner - DI
2022,35.0,32.2,35.4,32.6,33.8,32.2,34.8,33.0,36.2,34.8,37.3,34.3
2021,35.0,32.4,35.2,32.7,33.8,32.0,35.1,32.5,36.5,35.0,37.8,34.6
2020,35.0,32.2,35.1,32.3,33.6,32.3,35.0,32.7,36.1,36.1,38.4,35.8
2019,34.6,32.0,34.9,32.6,33.2,32.4,35.1,33.0,36.9,35.8,38.6,34.7
2018,34.5,32.3,34.7,32.2,33.6,32.1,34.5,32.8,37.1,35.8,38.1,34.9
2017,34.5,32.3,34.6,32.7,33.1,32.3,34.7,32.9,36.9,35.8,37.8,34.9
2016,34.4,32.5,34.6,32.3,33.4,32.5,34.5,33.1,37.1,36.4,38.1,35.9
2015,34.4,32.1,34.4,32.3,33.3,32.6,34.5,33.0,37.2,36.9,38.4,35.6
2014,34.3,31.8,34.4,32.1,33.6,32.7,35.1,33.3,37.1,37.2,38.9,36.6
2013,34.3,32.1,34.4,32.2,33.2,33.1,34.7,33.4,37.3,37.2,39.1,36.0
2012,34.3,31.7,34.3,32.5,33.8,32.8,34.9,33.4,37.4,37.8,38.5,35.9
2011,34.2,32.1,34.3,32.5,33.4,33.5,34.8,33.9,37.9,37.5,38.1,36.2
2010,34.4,32.3,34.5,32.7,34.5,33.6,35.4,34.3,38.2,37.7,38.6,36.3
2009,34.4,32.4,34.4,32.8,34.2,33.6,35.3,34.3,37.9,37.9,38.8,36.5
2008,34.5,32.8,34.5,33.1,35.1,34.0,35.9,34.8,38.1,37.8,39.4,36.0
2007,34.6,32.7,34.5,33.2,36.6,34.2,36.0,34.7,37.9,38.3,38.9,37.4
2006,34.5,32.6,34.5,32.4,34.9,34.7,37.4,33.8,37.3,38.1,40.1,37.7
2005,34.4,32.1,34.4,32.3,35.1,34.1,35.5,33.5,37.6,37.9,39.3,36.6
2004,34.3,32.0,34.3,32.4,34.4,33.8,34.8,33.5,36.4,37.6,38.9,38.4
2003,34.1,32.4,34.2,32.0,36.1,34.0,36.1,33.9,36.8,37.3,39.8,36.9
2002,34.0,31.9,34.2,32.7,37.3,33.1,35.8,33.3,38.2,36.8,38.2,36.4
2001,33.8,32.0,34.0,32.6,35.9,33.7,37.1,33.8,37.4,36.9,38.4,36.3
2000,33.7,31.1,33.8,31.9,34.3,33.5,36.1,34.1,36.3,36.1,39.4,35.6
1999,33.7,31.1,33.6,32.1,33.0,33.8,N/A,33.1,36.1,37.0,40.6,36.8
